postText	phrase(s)	spoiler
'Star Wars: Episode 8' Working Titled Leaked	[In a video that seems to show some kind of Star Wars celebration, an apparent poster depicts Episode VIII to have the title Fall of the Resistance., It was so popular that Family Guy titled the first part of its Star Wars trilogy after Episode VI's working title.]	['Fall of the Resistance.']
We've finally figured out when the moon formed	[Earth was born about 4.5 billion years ago, and scientists think the moon formed shortly afterward., The simulations found that numerous fragments from the moon-forming impact — hundreds of millions of which were at least a mile (1.6 kilometers) long — blasted the asteroid belt, striking asteroids there at speeds of more than 22,370 mph (36,000 km/h), more than twice as fast as typical crashes in the belt., The researchers deduced that the moon-forming impact occurred about 4.47 billion years ago, in agreement with many previous estimates.]	['4.47 billion years ago']
Another country decriminalizes marijuana	[As of Oct. 1, possession of marijuana is decriminalized in Switzerland.]	['Switzerland']
You Should STOP Eating Baby Carrots for THIS Disturbing Reason!	[I well remember eating them back then, but what I never knew is that baby carrots aren’t small carrots.]	['They are soaked in a bath of chlorine']
The iPhone 5C number Apple doesn't want you to know	[A few days later, Apple trumpets the high number of new iPhones the public wants., But this year, Apple was mum about preorder numbers several days after iPhone 5C preorders went live.]	['preorder figure was 2 million']
I Thought It Was Weird She Glued Pennies To Her Daughter’s Shoes, But When I Found Out Why? GENIUS!	[Knowing her daughter’s love for dancing and playing, she decided to take some of her old pennies and glue them to the bottom of her daughter’s play shoes, and the results were amazing.]	['make-shift tap shoes']
GOP governor pressured to reveal secret donors	[Many wonder whether donors or special interest groups contributed to the fund in secret have received any favoritism from the governor's office.]	['Gov. Rick Snyder (R-Michigan)']
President Obama won't end his vacation for one specific reason	[That's why Obama won't break off his vacation in Martha's Vineyard — or stop playing golf on said vacation — to travel to Louisiana.]	['Because he believes he can monitor the situation as well — or better — from where he is']
The last utopia?	"[Wellington-based journalist Ben Collins asks whether New Zealand is becoming a ""utopia"" for Americans looking to leave., Mr Thiel, who previously said New Zealand was a ""utopia"" and has invested heavily there, is just one of several US migrants who have realised what the country has to offer.]"	"['Mr Thiel, who previously said New Zealand was a ""utopia"" and has invested heavily there, is just one of several US migrants who have realised what the country has to offer.']"
Well this is one way to get flawless skin	[However, it takes more than just a single swipe of face makeup for her to get flawless skin.]	['two foundations']
Wow! This Company Pays For Employees' Weddings And Their Kids' College	[Boxed, an online Costco-like retailer, just announced that the company will pay for employee weddings (up to $20,000)., This was in addition to last year’s announcement that the company would cover the costs for employees’ kids to attend college.]	['Boxed']
Just a slight flaw with this argument...	[Boxed, an online Costco-like retailer, just announced that the company will pay for employee weddings (up to $20,000)., This was in addition to last year’s announcement that the company would cover the costs for employees’ kids to attend college.]	['key objectives of MILO’s tour was the promotion of free speech on typically censorious American college campuses']
What's lurking in your white wine WILL scare you	[White wine, beer and Brussels sprouts can be major sources of the toxic metal arsenic in people's diets, according to a new study., Of the 120 foods the researchers looked at, four turned out to significantly raise people's arsenic levels: beer, white wine (and to a lesser extent, red wine), Brussels sprouts and dark-meat fish such as salmon, tuna and sardines, according to the study, published last week (Nov. 16) in the Nutrition Journal., People who reported drinking on average two and half beers or a glass of white wine every day had arsenic levels 20 to 30 percent higher than those of people who didn't drink.]	['toxic metal arsenic']
How much will JPMorgan pay for 'London Whale' losses?	"[U.S. and UK regulators are expected to announce a civil settlement as soon as Thursday of their investigations into JPMorgan Chase & Co's ""London Whale"" derivatives loss, a source familiar with the matter said on Wednesday.]"	['$900 million']
5 reasons why no one has built a better EpiPen	"[oston mom Denise Clark has been buying EpiPens annually for the past 16 years, ever since her son was diagnosed with a serious peanut allergy., Problem is, he won’t carry his EpiPen around with him — because it won’t fit into his pocket., This underscores a simple truth: EpiPens just aren’t that great., Though EpiPens come with a practice kit, users in the midst of an allergy attack have mistaken which end’s the pointy end — and stabbed their thumbs instead of their thighs., The devices have come under fire in the past month for their escalating sticker price: a pack of two EpiPens now lists for $608., Mylan, which owns the EpiPen brand (though the device itself is actually manufactured by Pfizer) notes that it redesigned the product in 2009, added features including the flip-top case, and is ""investing substantial amounts in research into additional improvements, such as a formulation with a longer shelf life."", But critics say Mylan has little incentive to improve EpiPens: ""If you’re the monopolist, and you’ve got a product that expires every year, and it’s not super easy to carry around so the safest thing to do is have several tucked away in different places — I don’t see why there would be any pressure to innovate,"" said Nicholson Price, an assistant professor at the University of Michigan Law School who studies health care regulation and patent law., ""EpiPen’s flaws seem like features, not a bug,"" Price said., Competitors have tried to make runs at the EpiPen., But Mylan has a lock on the particular EpiPen design that millions of patients, parents, and school nurses have come to trust., The company’s main innovation has been a bright orange cap that covers the needle, but releases automatically when a patient pushes an EpiPen against her thigh, so there’s no need to stop and unscrew the cover in the midst of an allergy attack., The very fact that the EpiPen has been dominant for so long makes it hard for challengers to come in with a radically different design., ""It would not be very difficult to create an EpiPen product, in terms of engineering,"" Allen said., Windgap’s device is meant to improve upon the EpiPen: It’s supposed to be smaller, about the size of a Bic lighter, with a much more stable formulation of epinephrine intended to survive in a pants pocket without getting overheated., Though EpiPen components look pretty basic, Mylan notes that it is made up of 26 parts and must be able to deliver the drug with a sterile needle within seconds., One EpiPen alternative that did make it to market: The Auvi-Q, an epinephrine auto-injector shaped like a bulky credit card., ""We could make something very tiny, that you could carry on a keychain — much smaller than an EpiPen or auto-injector by far,"" MannKind CEO Matthew Pfeffer said., A lot of the challenge lies in the regulatory system, said Mark Baum, CEO of San Diego-based Imprimis — a compound pharmaceutical company that’s working on a cheaper alternative to the EpiPen., ""But when the market was more normalized — when the EpiPen was only retailing around $100 — competitors questioned whether it was worth taking that risk."", Public anger at EpiPen is so high right now that Baum figures it is worth taking the risk., 5., But though she works in the field every day, she says she never even thought much about the flaws of the EpiPen design — or the lack of innovation — until the product started hitting headlines., But since the EpiPen is generally covered by insurance, many customers have simply gone with it., ""They have such a monopoly, so why would they bother improving the EpiPen?""]"	['1. Mylan has patent protection that lasts through 2025', '2. There’s no room for error when you’re treating anaphylaxis', '3. It doesn’t take an auto-injector to get epinephrine into the body — but it sure helps', '4. The regulatory process is slow and expensive', '5. The public hasn’t spoken (loud enough)']
